,Subject,Model,Th,Execution Time,Left Movements,TN,FP,Right Movements,TP,FN
0,g,LR,,170.5066,42,38,4,83,76,7
1,g,LR,,179.9902,44,38,6,82,74,8
2,g,LR,,206.3242,42,40,2,87,78,9
3,g,LR,,190.7222,52,40,12,73,69,4
4,g,LR,,183.1068,50,40,10,72,71,1
5,g,LR,,174.9855,46,40,6,85,75,10
6,g,LR,,201.9994,46,40,6,80,75,5
7,g,LR,,160.2824,44,40,4,82,77,5
8,g,LR,,172.6479,43,40,3,92,78,14
9,g,LR,,147.503,44,40,4,82,77,5
