,Subject,Model,Th,Execution Time,Left Movements,TN,FP,Right Movements,TP,FN
10,c,LR,,186.76,41,40,1,102,80,22
11,c,LR,,239.3203,41,40,1,95,79,16
12,c,LR,,204.7431,42,40,2,101,80,21
13,c,LR,,185.5638,43,40,3,100,78,22
14,c,LR,,187.0009,42,40,2,108,79,29
15,c,LR,,209.8348,40,40,0,107,81,26
16,c,LR,,180.7506,41,40,1,102,80,22
17,c,LR,,204.3483,44,40,4,95,76,19
18,c,LR,,210.4053,41,40,1,109,80,29
19,c,LR,,181.7138,40,40,0,96,81,15
